"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"5743";"Jordan Travist";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0775.jpg";"";"0";"";"Cali Pedidos"
"5744";"Jordan Travist";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0776.jpg";"";"0";"";"Cali Pedidos"
"5745";"Jordan Travist";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0777.jpg";"";"0";"";"Cali Pedidos"
"5746";"VALENTINO GARAVANI";"";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0778.jpg";"";"0";"";"Cali Pedidos"
"5747";"VALENTINO GARAVANI";"";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0779.jpg";"";"0";"";"Cali Pedidos"
"5748";"Nike Burbuja";"Nike";"Hombre";"";"100000";"0";"40";"IMG-20260330-WA0780.jpg";"";"0";"";"Cali Pedidos"
"5749";"Reebok GL6000";"Reebok";"Mujer";"";"100000";"0";"5";"IMG-20260330-WA0781.jpg";"";"0";"";"Cali Pedidos"
"5750";"Reebok GL6000";"Reebok";"Mujer";"";"100000";"0";"5";"IMG-20260330-WA0782.jpg";"";"0";"";"Cali Pedidos"
"5751";"Nike Zoom I";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0783.jpg";"";"0";"";"Cali Pedidos"
"5752";"Nike Zoom I";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0784.jpg";"";"0";"";"Cali Pedidos"
"5753";"Nike Zoom I";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0785.jpg";"";"0";"";"Cali Pedidos"
"5754";"Timberland";"Timberland";"Hombre";"";"105000";"0";"40";"IMG-20260330-WA0786.jpg";"";"0";"";"Cali Pedidos"
"5755";"Nike Bliss";"Nike";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0787.jpg";"";"0";"";"Cali Pedidos"
"5756";"Nike Bliss";"Nike";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0788.jpg";"";"0";"";"Cali Pedidos"
"5757";"Adidas Sper Star";"Adidas";"Mujer";"";"90000";"0";"36";"IMG-20260330-WA0789.jpg";"";"0";"";"Cali Pedidos"
"5758";"Adidas Sper Star";"Adidas";"Mujer";"";"90000";"0";"36";"IMG-20260330-WA0790.jpg";"";"0";"";"Cali Pedidos"
"5759";"Nike Pegasus";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0791.jpg";"";"0";"";"Cali Pedidos"
"5760";"Nike Pegasus";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0792.jpg";"";"0";"";"Cali Pedidos"
"5761";"Jordan Retro 1";"Nike";"Mujer";"";"95000";"0";"36";"IMG-20260330-WA0793.jpg";"";"0";"";"Cali Pedidos"
"5762";"Nike V2k II";"Nike";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0794.jpg";"";"0";"";"Cali Pedidos"
