"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"27719";"Nueva coleccin  adidas Predator edicion LOUIS VUITTON $ 150.000 Eur 40 al 44  5125";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0030.jpg";"";"0";"";"SUMBAWA"
"27720";"RECARGA - Adidas F50 SPIDER $ 100.000 Eur 40 41 42 43 44  4666";"";"";"";"100000";"0";"50,100,000,40,41,42,43,44,4666";"IMG-20260611-WA0031.jpg";"";"0";"";"SUMBAWA"
"27721";"RECARGA - Adidas F50 $ 100.000 Eur 40 41 42 43 44  4726";"";"";"";"100000";"0";"50,100,000,40,41,42,43,44,4726";"IMG-20260611-WA0026.jpg";"";"0";"";"SUMBAWA"
"27722";"RECARGA -ADIDAS F50 Ice cold Precisin $ 140.000 Eur 40 41 42 43 44 5123";"";"";"";"140000";"0";"50,140,000,40,41,42,43,44,5123";"IMG-20260611-WA0014.jpg";"";"0";"";"SUMBAWA"
"27723";"Nueva colecion - Nike Phantom Gx $ 140.000 Eur 40 41 42 43 44 5144";"";"";"";"140000";"0";"140,000,40,41,42,43,44,5144";"IMG-20260611-WA0032.jpg";"";"0";"";"SUMBAWA"
"27724";"RECARGA - Nike Phantom 6 Atack pack $ 140.000 Eu 40 41 42 43 44  5145";"";"";"";"140000";"0";"6,140,000,40,41,42,43,44,5145";"IMG-20260609-WA0290.jpg";"";"0";"";"SUMBAWA"
"27725";"RECARGA - Adidas Predator $ 90.000 Eur 40 41 42 43 44  4703";"";"";"";"90000";"0";"90,000,40,41,42,43,44,4703";"IMG-20260611-WA0033.jpg";"";"0";"";"SUMBAWA"
"27726";"NUEVO PRECIO Adidas Predator $ 90.000 Eur 40 41  4647";"";"";"";"90000";"0";"90";"IMG-20260426-WA0031.jpg";"";"0";"";"SUMBAWA"
"27727";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5126";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0034.jpg";"";"0";"";"SUMBAWA"
"27728";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5127";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0035.jpg";"";"0";"";"SUMBAWA"
"27729";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5128";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0036.jpg";"";"0";"";"SUMBAWA"
"27730";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5129";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0037.jpg";"";"0";"";"SUMBAWA"
"27731";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5131";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0038.jpg";"";"0";"";"SUMBAWA"
"27732";"Nueva coleccin  Adidas Predator Argentina $ 150.000 Eur 40 al 44  5160";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0025.jpg";"";"0";"";"SUMBAWA"
"27733";"Nueva coleccin  Adidas Predator Elite Kaka $ 150.000 Eur 40 al 44  5124";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0039.jpg";"";"0";"";"SUMBAWA"
"27734";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5156";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0040.jpg";"";"0";"";"SUMBAWA"
"27735";"Nueva coleccin  Adidas Predator Louis Vuitton $ 150.000 Eur 40 al 44  5125";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0030.jpg";"";"0";"";"SUMBAWA"
"27736";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5158";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0041.jpg";"";"0";"";"SUMBAWA"
"27737";"Nueva coleccin  Adidas Predator Elite $ 150.000 Eur 40 al 44  5124";"";"";"";"150000";"0";"40-44";"IMG-20260611-WA0042.jpg";"";"0";"";"SUMBAWA"
"27738";"PUMA WILD RYDER DAMA";"";"Mujer";"";"85000";"0";"1348";"IMG-20260610-WA1670.jpg";"";"0";"";"SUMBAWA"
"27739";"PUMA WILD RYDER DAMA";"";"Mujer";"";"85000";"0";"1508";"IMG-20260610-WA1671.jpg";"";"0";"";"SUMBAWA"
"27740";"REEBOK LEATHER CABALLERO";"";"Hombre";"";"85000";"0";"1361";"IMG-20260610-WA1672.jpg";"";"0";"";"SUMBAWA"
"27741";"REEBOK LEATHER CABALLERO";"";"Hombre";"";"0";"0";"620";"IMG-20260610-WA1673.jpg";"";"0";"";"SUMBAWA"
"27742";"REEBOK LEATHER CABALLERO";"";"Hombre";"";"85000";"0";"622";"IMG-20260610-WA1674.jpg";"";"0";"";"SUMBAWA"
"27743";"REEBOK WORKOUT DAMA";"";"Mujer";"";"100000";"0";"1327";"IMG-20260610-WA1675.jpg";"";"0";"";"SUMBAWA"
"27744";"REEBOK WORKOUT CABALLERO";"";"Hombre";"";"100000";"0";"1328";"IMG-20260610-WA1676.jpg";"";"0";"";"SUMBAWA"
"27745";"SKECHER CARBN DAMA";"";"Mujer";"";"85000";"0";"1377";"IMG-20260610-WA1677.jpg";"";"0";"";"SUMBAWA"
"27746";"SKECHER CARBN DAMA";"";"Mujer";"";"85000";"0";"1376";"IMG-20260610-WA1678.jpg";"";"0";"";"SUMBAWA"
"27747";"SKECHER DLUXE CABALLERO";"";"Hombre";"";"90000";"0";"481";"IMG-20260610-WA1679.jpg";"";"0";"";"SUMBAWA"
"27748";"SKECHER DLUXE CABALLERO";"";"Hombre";"";"90000";"0";"1509";"IMG-20260610-WA1680.jpg";"";"0";"";"SUMBAWA"
